Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2026-03-18 10:04,Hard Exit,1.4,1000,1120.3,280.1,25.00,280.1,25.00,-10.3,-0.92,280.1,28.01
1,Entry long,2026-03-18 09:58,Long,1.12,1000,1120.3,280.1,25.00,280.1,25.00,-10.3,-0.92,280.1,28.01
2,Exit long,2026-03-18 10:46,Hard Exit,0.7537,1000,885.6,-131.9,-14.89,0,0.00,-135.5,-15.30,148.2,14.82
2,Entry long,2026-03-18 10:41,Long,0.8856,1000,885.6,-131.9,-14.89,0,0.00,-135.5,-15.30,148.2,14.82
3,Exit long,2026-03-18 11:02,Hard Exit,0.7548,1000,837.6,-82.8,-9.89,12.4,1.48,-85.7,-10.23,65.4,6.54
3,Entry long,2026-03-18 10:52,Long,0.8376,1000,837.6,-82.8,-9.89,12.4,1.48,-85.7,-10.23,65.4,6.54
4,Exit long,2026-03-19 07:06,Hard Exit,1.13,1000,906.2,226.6,25.01,226.6,25.01,-3.5,-0.39,292,29.20
4,Entry long,2026-03-19 07:01,Long,0.9062,1000,906.2,226.6,25.01,226.6,25.01,-3.5,-0.39,292,29.20
5,Exit long,2026-03-19 09:57,Hard Exit,0.7175,1000,774.4,-56.9,-7.35,149.6,19.32,-56.9,-7.35,235.1,23.51
5,Entry long,2026-03-19 09:43,Long,0.7744,1000,774.4,-56.9,-7.35,149.6,19.32,-56.9,-7.35,235.1,23.51
6,Exit long,2026-03-19 16:08,Hard Exit,0.8399,1000,874.5,-34.6,-3.96,61,6.98,-34.6,-3.96,200.5,20.05
6,Entry long,2026-03-19 15:53,Long,0.8745,1000,874.5,-34.6,-3.96,61,6.98,-34.6,-3.96,200.5,20.05
7,Exit long,2026-03-19 16:15,EMA Cross Down,0.8518,1000,857.2,-5.4,-0.63,16.8,1.96,-5.4,-0.63,195.1,19.51
7,Entry long,2026-03-19 16:10,Long,0.8572,1000,857.2,-5.4,-0.63,16.8,1.96,-5.4,-0.63,195.1,19.51
8,Exit long,2026-03-19 16:45,EMA Cross Down,0.9062,1000,887.1,19.1,2.15,122.9,13.85,-6.8,-0.77,214.2,21.42
8,Entry long,2026-03-19 16:26,Long,0.8871,1000,887.1,19.1,2.15,122.9,13.85,-6.8,-0.77,214.2,21.42
9,Exit long,2026-03-20 09:30,Hard Exit,0.8,1000,808.3,-8.3,-1.03,21.7,2.68,-8.3,-1.03,205.9,20.59
9,Entry long,2026-03-20 09:14,Long,0.8083,1000,808.3,-8.3,-1.03,21.7,2.68,-8.3,-1.03,205.9,20.59
10,Exit long,2026-03-20 10:09,Hard Exit,0.9241,1000,948.2,-24.1,-2.54,8.6,0.91,-24.1,-2.54,181.8,18.18
10,Entry long,2026-03-20 10:00,Long,0.9482,1000,948.2,-24.1,-2.54,8.6,0.91,-24.1,-2.54,181.8,18.18
11,Exit long,2026-03-20 12:31,EMA Cross Down,0.8468,1000,842.6,4.2,0.50,17.4,2.07,-2.2,-0.26,186,18.60
11,Entry long,2026-03-20 10:59,Long,0.8426,1000,842.6,4.2,0.50,17.4,2.07,-2.2,-0.26,186,18.60